Datum,dosen_geliefert,patienten_geimpft,patienten_erstgeimpft,impfungen,zweitimpfungen,ersttimpfungen
2021-03-01,286329,2157087,4079107,342723,61832,280891
2021-03-02,286329,2215131,4287088,266025,58044,207981
2021-03-03,286329,2273175,4495069,266025,58044,207981
2021-03-04,286329,2331219,4703050,266025,58044,207981
2021-03-05,286329,2389263,4911031,266025,58044,207981
2021-03-06,286329,2447307,5119012,266025,58044,207981
2021-03-07,286329,2505351,5326993,266025,58044,207981
2021-03-08,236014,2563395,5482152,213203,58044,155159
2021-03-09,236014,2621439,5637311,213203,58044,155159
2021-03-10,236014,2679483,5792470,213203,58044,155159
2021-03-11,236014,2737527,5947629,213203,58044,155159
2021-03-12,236014,2795571,6102788,213203,58044,155159
2021-03-13,236014,2853615,6257947,213203,58044,155159
2021-03-14,236014,2911659,6413106,213203,58044,155159
2021-03-15,239250,3022735,6514433,212403,111076,101327
2021-03-16,239250,3084567,6640382,187781,61832,125949
2021-03-17,239250,3146399,6766331,187781,61832,125949
2021-03-18,239250,3208231,6892280,187781,61832,125949
2021-03-19,239250,3270063,7018229,187781,61832,125949
2021-03-20,239250,3331895,7144178,187781,61832,125949
2021-03-21,239250,3393727,7270127,187781,61832,125949
2021-03-22,222450,3451771,7411513,199430,58044,141386
2021-03-23,222450,3509815,7552899,199430,58044,141386
2021-03-24,222450,3567859,7694285,199430,58044,141386
2021-03-25,222450,3625903,7835671,199430,58044,141386
2021-03-26,222450,3683947,7977057,199430,58044,141386
2021-03-27,222450,3741991,8118443,199430,58044,141386
2021-03-28,222450,3800035,8259829,199430,58044,141386
2021-03-29,332507,3931967,8518414,390517,131932,258585
2021-03-30,332507,4000094,8805355,355068,68127,286941
2021-03-31,332507,4068221,9092296,355068,68127,286941
2021-04-01,332507,4136348,9379237,355068,68127,286941
2021-04-02,332507,4204475,9666178,355068,68127,286941
2021-04-03,332507,4272602,9953119,355068,68127,286941
2021-04-04,332507,4340729,10240060,355068,68127,286941
2021-04-05,407215,4432233,10599083,434671,75648,359023
2021-04-06,407215,4523737,10958106,434671,75648,359023
2021-04-07,407215,4615241,11317129,434671,75648,359023
2021-04-08,407215,4706745,11676152,434671,75648,359023
2021-04-09,407215,4798249,12035175,434671,75648,359023
2021-04-10,407215,4889753,12394198,434671,75648,359023
2021-04-11,407215,4981257,12753221,434671,75648,359023
2021-04-12,474144,5093070,13168186,495067,80102,414965
2021-04-13,474144,5229505,13583151,519689,104724,414965
2021-04-14,474144,5365940,13998116,519689,104724,414965
2021-04-15,474144,5502375,14413081,519689,104724,414965
2021-04-16,474144,5638810,14828046,519689,104724,414965
2021-04-17,474144,5775245,15243011,519689,104724,414965
2021-04-18,474144,5911680,15657976,519689,104724,414965
2021-04-19,541073,6035522,16129197,547496,76275,471221
2021-04-20,541073,6159364,16600418,547496,76275,471221
2021-04-21,541073,6283206,17071639,547496,76275,471221
2021-04-22,541073,6407048,17542860,547496,76275,471221
2021-04-23,541073,6530890,18014081,547496,76275,471221
2021-04-24,541073,6654732,18485302,547496,76275,471221
2021-04-25,541073,6778574,18956523,547496,76275,471221
2021-04-26,608002,6983735,19472616,657832,141739,516093
2021-04-27,608002,7217252,19981161,678640,170095,508545
2021-04-28,608002,7450769,20489706,678640,170095,508545
2021-04-29,608002,7684286,20998251,678640,170095,508545
2021-04-30,608002,7917803,21506796,678640,170095,508545
2021-05-01,608002,8151320,22015341,678640,170095,508545
2021-05-02,608002,8384837,22523886,678640,170095,508545
2021-05-03,674932,8826139,22899082,737220,362024,375196
2021-05-04,674932,9231820,23309899,737220,326403,410817
2021-05-05,674932,9637501,23720716,737220,326403,410817
2021-05-06,674932,10043182,24131533,737220,326403,410817
2021-05-07,674932,10448863,24542350,737220,326403,410817
2021-05-08,674932,10854544,24953167,737220,326403,410817
2021-05-09,674932,11260225,25363984,737220,326403,410817
2021-05-10,741861,11653124,25875547,809329,297766,511563
2021-05-11,741861,12046023,26387110,809329,297766,511563
2021-05-12,741861,12438922,26898673,809329,297766,511563
2021-05-13,741861,12831821,27410236,809329,297766,511563
2021-05-14,741861,13224720,27921799,809329,297766,511563
2021-05-15,741861,13617619,28433362,809329,297766,511563
2021-05-16,741861,14010518,28944925,809329,297766,511563
2021-05-17,808791,14393007,29555020,881595,271500,610095
2021-05-18,808791,14775496,30165115,881595,271500,610095
2021-05-19,808791,15157985,30775210,881595,271500,610095
2021-05-20,808791,15540474,31385305,881595,271500,610095
2021-05-21,808791,15922963,31995400,881595,271500,610095
2021-05-22,808791,16305452,32605495,881595,271500,610095
2021-05-23,808791,16687941,33215590,881595,271500,610095
2021-05-24,875721,17150808,33827739,948171,336022,612149
2021-05-25,875721,17606127,34443661,944396,328474,615922
2021-05-26,875721,18061446,35059583,944396,328474,615922
2021-05-27,875721,18516765,35675505,944396,328474,615922
2021-05-28,875721,18972084,36291427,944396,328474,615922
2021-05-29,875721,19427403,36907349,944396,328474,615922
2021-05-30,875721,19882722,37523271,944396,328474,615922
2021-05-31,942650,20423520,38134769,1009596,398098,611498
2021-06-01,942650,20964318,38746267,1009596,398098,611498
